experiment,method,rep_index,sample_ms
p1d_structural_plus_lexical_residual,commerce_native,0,12.097617999999999
p1d_structural_plus_lexical_residual,commerce_native,1,7.2123159999999995
p1d_structural_plus_lexical_residual,commerce_native,2,0.253008
p1d_structural_plus_lexical_residual,commerce_native,3,0.36761900000000003
p1d_structural_plus_lexical_residual,commerce_native,4,0.42498600000000003
p1d_structural_plus_lexical_residual,commerce_native,5,28.300046
p1d_structural_plus_lexical_residual,commerce_native,6,27.673486
p1d_structural_plus_lexical_residual,commerce_native,7,11.733541
p1d_structural_plus_lexical_residual,commerce_native,8,7.484961
p1d_structural_plus_lexical_residual,commerce_native,9,0.40683199999999997
p1d_structural_plus_lexical_residual,commerce_native,10,9.445001999999999
p1d_structural_plus_lexical_residual,commerce_native,11,34.225813
p1d_structural_plus_lexical_residual,commerce_native,12,28.761452
p1d_structural_plus_lexical_residual,commerce_native,13,4.222709
p1d_structural_plus_lexical_residual,commerce_native,14,7.398176
p1d_structural_plus_lexical_residual,commerce_native,15,0.34245899999999996
p1d_structural_plus_lexical_residual,commerce_native,16,0.536803
p1d_structural_plus_lexical_residual,commerce_native,17,2.961975
p1d_structural_plus_lexical_residual,commerce_native,18,35.032568
p1d_structural_plus_lexical_residual,commerce_native,19,29.410987
p1d_structural_plus_lexical_residual,commerce_native,20,2.276391
p1d_structural_plus_lexical_residual,commerce_native,21,7.006205
p1d_structural_plus_lexical_residual,commerce_native,22,5.27781
p1d_structural_plus_lexical_residual,commerce_native,23,0.433081
p1d_structural_plus_lexical_residual,commerce_native,24,6.714635
p1d_structural_plus_lexical_residual,commerce_native,25,28.303392
p1d_structural_plus_lexical_residual,commerce_native,26,28.244635
p1d_structural_plus_lexical_residual,commerce_native,27,7.080325
p1d_structural_plus_lexical_residual,commerce_native,28,8.221038
p1d_structural_plus_lexical_residual,commerce_native,29,0.278565
p1d_structural_plus_lexical_residual,tantivy_standalone,0,8.858426000000001
p1d_structural_plus_lexical_residual,tantivy_standalone,1,6.738109
p1d_structural_plus_lexical_residual,tantivy_standalone,2,24.997322999999998
p1d_structural_plus_lexical_residual,tantivy_standalone,3,3.7859030000000002
p1d_structural_plus_lexical_residual,tantivy_standalone,4,2.4051799999999997
p1d_structural_plus_lexical_residual,tantivy_standalone,5,46.311453
p1d_structural_plus_lexical_residual,tantivy_standalone,6,13.421051
p1d_structural_plus_lexical_residual,tantivy_standalone,7,6.634603
p1d_structural_plus_lexical_residual,tantivy_standalone,8,24.634717000000002
p1d_structural_plus_lexical_residual,tantivy_standalone,9,7.641714
p1d_structural_plus_lexical_residual,tantivy_standalone,10,3.020606
p1d_structural_plus_lexical_residual,tantivy_standalone,11,8.490815000000001
p1d_structural_plus_lexical_residual,tantivy_standalone,12,37.70868
p1d_structural_plus_lexical_residual,tantivy_standalone,13,5.867299
p1d_structural_plus_lexical_residual,tantivy_standalone,14,14.369153
p1d_structural_plus_lexical_residual,tantivy_standalone,15,14.162462000000001
p1d_structural_plus_lexical_residual,tantivy_standalone,16,3.263318
p1d_structural_plus_lexical_residual,tantivy_standalone,17,2.464812
p1d_structural_plus_lexical_residual,tantivy_standalone,18,34.312566000000004
p1d_structural_plus_lexical_residual,tantivy_standalone,19,12.899725
p1d_structural_plus_lexical_residual,tantivy_standalone,20,13.09237
p1d_structural_plus_lexical_residual,tantivy_standalone,21,6.539133
p1d_structural_plus_lexical_residual,tantivy_standalone,22,7.412288
p1d_structural_plus_lexical_residual,tantivy_standalone,23,3.564393
p1d_structural_plus_lexical_residual,tantivy_standalone,24,47.246451
p1d_structural_plus_lexical_residual,tantivy_standalone,25,46.013673999999995
p1d_structural_plus_lexical_residual,tantivy_standalone,26,13.063811999999999
p1d_structural_plus_lexical_residual,tantivy_standalone,27,13.3573
p1d_structural_plus_lexical_residual,tantivy_standalone,28,26.042222
p1d_structural_plus_lexical_residual,tantivy_standalone,29,4.340555
p1d_structural_plus_lexical_residual,solr,0,2.427842
p1d_structural_plus_lexical_residual,solr,1,2.6828809999999996
p1d_structural_plus_lexical_residual,solr,2,2.688433
p1d_structural_plus_lexical_residual,solr,3,2.44434
p1d_structural_plus_lexical_residual,solr,4,1.949082
p1d_structural_plus_lexical_residual,solr,5,2.506789
p1d_structural_plus_lexical_residual,solr,6,2.71189
p1d_structural_plus_lexical_residual,solr,7,1.537431
p1d_structural_plus_lexical_residual,solr,8,2.719363
p1d_structural_plus_lexical_residual,solr,9,2.683523
p1d_structural_plus_lexical_residual,solr,10,2.090424
p1d_structural_plus_lexical_residual,solr,11,2.583175
p1d_structural_plus_lexical_residual,solr,12,2.7755129999999997
p1d_structural_plus_lexical_residual,solr,13,2.7862400000000003
p1d_structural_plus_lexical_residual,solr,14,2.994769
p1d_structural_plus_lexical_residual,solr,15,3.580906
p1d_structural_plus_lexical_residual,solr,16,2.14357
p1d_structural_plus_lexical_residual,solr,17,2.3155799999999997
p1d_structural_plus_lexical_residual,solr,18,2.082947
p1d_structural_plus_lexical_residual,solr,19,2.759389
p1d_structural_plus_lexical_residual,solr,20,2.239984
p1d_structural_plus_lexical_residual,solr,21,2.185574
p1d_structural_plus_lexical_residual,solr,22,2.468682
p1d_structural_plus_lexical_residual,solr,23,1.497544
p1d_structural_plus_lexical_residual,solr,24,1.658041
p1d_structural_plus_lexical_residual,solr,25,2.363162
p1d_structural_plus_lexical_residual,solr,26,2.450752
p1d_structural_plus_lexical_residual,solr,27,1.3657759999999999
p1d_structural_plus_lexical_residual,solr,28,2.605684
p1d_structural_plus_lexical_residual,solr,29,2.645852
p1d_structural_plus_semantic_residual,commerce_native,0,11.241773
p1d_structural_plus_semantic_residual,commerce_native,1,0.473323
p1d_structural_plus_semantic_residual,commerce_native,2,3.492835
p1d_structural_plus_semantic_residual,commerce_native,3,15.157005
p1d_structural_plus_semantic_residual,commerce_native,4,9.080375
p1d_structural_plus_semantic_residual,commerce_native,5,12.665740999999999
p1d_structural_plus_semantic_residual,commerce_native,6,5.84481
p1d_structural_plus_semantic_residual,commerce_native,7,11.376604
p1d_structural_plus_semantic_residual,commerce_native,8,0.467908
p1d_structural_plus_semantic_residual,commerce_native,9,2.459587
p1d_structural_plus_semantic_residual,commerce_native,10,2.719732
p1d_structural_plus_semantic_residual,commerce_native,11,12.070545000000001
p1d_structural_plus_semantic_residual,commerce_native,12,5.0842659999999995
p1d_structural_plus_semantic_residual,commerce_native,13,13.513651999999999
p1d_structural_plus_semantic_residual,commerce_native,14,2.51899
p1d_structural_plus_semantic_residual,commerce_native,15,3.43595
p1d_structural_plus_semantic_residual,commerce_native,16,2.6943319999999997
p1d_structural_plus_semantic_residual,commerce_native,17,2.2608810000000004
p1d_structural_plus_semantic_residual,commerce_native,18,11.040009
p1d_structural_plus_semantic_residual,commerce_native,19,12.190577
p1d_structural_plus_semantic_residual,commerce_native,20,4.674012
p1d_structural_plus_semantic_residual,commerce_native,21,0.440462
p1d_structural_plus_semantic_residual,commerce_native,22,5.391573999999999
p1d_structural_plus_semantic_residual,commerce_native,23,14.832678
p1d_structural_plus_semantic_residual,commerce_native,24,2.579024
p1d_structural_plus_semantic_residual,commerce_native,25,5.03489
p1d_structural_plus_semantic_residual,commerce_native,26,6.144138000000001
p1d_structural_plus_semantic_residual,commerce_native,27,2.5598219999999996
p1d_structural_plus_semantic_residual,commerce_native,28,0.355988
p1d_structural_plus_semantic_residual,commerce_native,29,3.437548
p1d_structural_plus_semantic_residual,tantivy_standalone,0,8.408565999999999
p1d_structural_plus_semantic_residual,tantivy_standalone,1,1.5394569999999999
p1d_structural_plus_semantic_residual,tantivy_standalone,2,10.989427
